Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T061_001
"41051003801","14000US41051003801","Census Tract 38.01, Multnomah County, Oregon","Census Tract 38.01, Multnomah County, Oregon","or","140","00","ACSSF","0001474",,,,,"41","051",,,,"003801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52614
"41051003802","14000US41051003802","Census Tract 38.02, Multnomah County, Oregon","Census Tract 38.02, Multnomah County, Oregon","or","140","00","ACSSF","0001475",,,,,"41","051",,,,"003802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63359
"41051003803","14000US41051003803","Census Tract 38.03, Multnomah County, Oregon","Census Tract 38.03, Multnomah County, Oregon","or","140","00","ACSSF","0001476",,,,,"41","051",,,,"003803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73709
"41051003901","14000US41051003901","Census Tract 39.01, Multnomah County, Oregon","Census Tract 39.01, Multnomah County, Oregon","or","140","00","ACSSF","0001477",,,,,"41","051",,,,"003901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61671
"41051003902","14000US41051003902","Census Tract 39.02, Multnomah County, Oregon","Census Tract 39.02, Multnomah County, Oregon","or","140","00","ACSSF","0001478",,,,,"41","051",,,,"003902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000
"41051004001","14000US41051004001","Census Tract 40.01, Multnomah County, Oregon","Census Tract 40.01, Multnomah County, Oregon","or","140","00","ACSSF","0001479",,,,,"41","051",,,,"004001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40670
"41051004002","14000US41051004002","Census Tract 40.02, Multnomah County, Oregon","Census Tract 40.02, Multnomah County, Oregon","or","140","00","ACSSF","0001480",,,,,"41","051",,,,"004002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88409
"41051004101","14000US41051004101","Census Tract 41.01, Multnomah County, Oregon","Census Tract 41.01, Multnomah County, Oregon","or","140","00","ACSSF","0001481",,,,,"41","051",,,,"004101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50079
"41051004102","14000US41051004102","Census Tract 41.02, Multnomah County, Oregon","Census Tract 41.02, Multnomah County, Oregon","or","140","00","ACSSF","0001482",,,,,"41","051",,,,"004102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49756
"41051004200","14000US41051004200","Census Tract 42, Multnomah County, Oregon","Census Tract 42, Multnomah County, Oregon","or","140","00","ACSSF","0001483",,,,,"41","051",,,,"004200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59406
"41051004300","14000US41051004300","Census Tract 43, Multnomah County, Oregon","Census Tract 43, Multnomah County, Oregon","or","140","00","ACSSF","0001484",,,,,"41","051",,,,"004300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101705
"41051004500","14000US41051004500","Census Tract 45, Multnomah County, Oregon","Census Tract 45, Multnomah County, Oregon","or","140","00","ACSSF","0001485",,,,,"41","051",,,,"004500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127045
