"lon","lat","group","income","geoid","inc_level"
-122.730683956482,45.5186875133602,110,51324,"14000US41051001201","low"
-122.730258955748,45.5187555146686,110,51324,"14000US41051001201","low"
-122.730006955063,45.5188175156374,110,51324,"14000US41051001201","low"
-122.729644955041,45.5189365170788,110,51324,"14000US41051001201","low"
-122.729349955028,45.5190735188175,110,51324,"14000US41051001201","low"
-122.728991956266,45.5192535198075,110,51324,"14000US41051001201","low"
-122.728767955818,45.5193575204531,110,51324,"14000US41051001201","low"
-122.728632955663,45.5194325209684,110,51324,"14000US41051001201","low"
-122.728259956733,45.5195865219394,110,51324,"14000US41051001201","low"
-122.727992955728,45.5196765237277,110,51324,"14000US41051001201","low"
-122.727656956402,45.519744524836,110,51324,"14000US41051001201","low"
-122.727424956045,45.5197775256941,110,51324,"14000US41051001201","low"
-122.727137955532,45.5197935266822,110,51324,"14000US41051001201","low"
-122.726959954557,45.5197975268786,110,51324,"14000US41051001201","low"
-122.726738954563,45.519787528035,110,51324,"14000US41051001201","low"
-122.726495953397,45.5197635289852,110,51324,"14000US41051001201","low"
-122.72630395328,45.5197375294223,110,51324,"14000US41051001201","low"
-122.726090952483,45.5196945298362,110,51324,"14000US41051001201","low"
-122.725828951409,45.519622531369,110,51324,"14000US41051001201","low"
-122.725552950287,45.5195115317832,110,51324,"14000US41051001201","low"
-122.724353946168,45.5190625366096,110,51324,"14000US41051001201","low"
-122.724048945298,45.518968537428,110,51324,"14000US41051001201","low"
-122.723769943856,45.5189165384514,110,51324,"14000US41051001201","low"
-122.723419943621,45.5189035398614,110,51324,"14000US41051001201","low"
-122.723081942652,45.5189335404724,110,51324,"14000US41051001201","low"
-122.722670942773,45.5190255426712,110,51324,"14000US41051001201","low"
-122.722417943077,45.5191435429567,110,51324,"14000US41051001201","low"
-122.722278942616,45.5192165437487,110,51324,"14000US41051001201","low"
-122.722139943493,45.5193025445787,110,51324,"14000US41051001201","low"
-122.722040943422,45.5193895450073,110,51324,"14000US41051001201","low"
-122.720890946639,45.5204335491326,110,51324,"14000US41051001201","low"
-122.720881945475,45.5201085490037,110,51324,"14000US41051001201","low"
-122.720871943656,45.5197715491387,110,51324,"14000US41051001201","low"
-122.720238941916,45.5197955507201,110,51324,"14000US41051001201","low"
-122.719650941102,45.5198185534364,110,51324,"14000US41051001201","low"
-122.719528916602,45.5154705533929,110,51324,"14000US41051001201","low"
-122.71929890987,45.5142255536587,110,51324,"14000US41051001201","low"
-122.71920690104,45.5128345535701,110,51324,"14000US41051001201","low"
-122.719206894004,45.5114345536709,110,51324,"14000US41051001201","low"
-122.719216891405,45.5109515533909,110,51324,"14000US41051001201","low"
-122.719223889127,45.5106295533381,110,51324,"14000US41051001201","low"
-122.71922888784,45.5104465538686,110,51324,"14000US41051001201","low"
-122.719301873904,45.5078585529567,110,51324,"14000US41051001201","low"
-122.719265873923,45.5077555532595,110,51324,"14000US41051001201","low"
-122.719315872732,45.5075085525471,110,51324,"14000US41051001201","low"
-122.719349870959,45.5073435523571,110,51324,"14000US41051001201","low"
