"Geo_FIPS","Geo_GEOID","Geo_NAME","Geo_QName","Geo_TRACT","SE_T061_001","TRACT","TRACT_NO","FIPS"
41051010600,"14000US41051010600","Census Tract 106, Multnomah County, Oregon","Census Tract 106, Multnomah County, Oregon",10600,55590,NA,NA,NA
41051980000,"14000US41051980000","Census Tract 9800, Multnomah County, Oregon","Census Tract 9800, Multnomah County, Oregon",980000,0,NA,NA,NA
367,NA,NA,NA,NA,NA,"030102",301.02,"41071030102"
111,NA,NA,NA,NA,NA,"001202",12.02,"41051001202"
112,NA,NA,NA,NA,NA,"001301",13.01,"41051001301"
113,NA,NA,NA,NA,NA,"001302",13.02,"41051001302"
114,NA,NA,NA,NA,NA,"001400",14,"41051001400"
115,NA,NA,NA,NA,NA,"001500",15,"41051001500"
116,NA,NA,NA,NA,NA,"001601",16.01,"41051001601"
117,NA,NA,NA,NA,NA,"001602",16.02,"41051001602"
118,NA,NA,NA,NA,NA,"001701",17.01,"41051001701"
119,NA,NA,NA,NA,NA,"001702",17.02,"41051001702"
120,NA,NA,NA,NA,NA,"001801",18.01,"41051001801"
121,NA,NA,NA,NA,NA,"001802",18.02,"41051001802"
122,NA,NA,NA,NA,NA,"001900",19,"41051001900"
123,NA,NA,NA,NA,NA,"002000",20,"41051002000"
124,NA,NA,NA,NA,NA,"002100",21,"41051002100"
127,NA,NA,NA,NA,NA,"002401",24.01,"41051002401"
128,NA,NA,NA,NA,NA,"002402",24.02,"41051002402"
129,NA,NA,NA,NA,NA,"002501",25.01,"41051002501"
130,NA,NA,NA,NA,NA,"002502",25.02,"41051002502"
131,NA,NA,NA,NA,NA,"002600",26,"41051002600"
132,NA,NA,NA,NA,NA,"002701",27.01,"41051002701"
133,NA,NA,NA,NA,NA,"002702",27.02,"41051002702"
134,NA,NA,NA,NA,NA,"002801",28.01,"41051002801"
135,NA,NA,NA,NA,NA,"002802",28.02,"41051002802"
136,NA,NA,NA,NA,NA,"002901",29.01,"41051002901"
137,NA,NA,NA,NA,NA,"002902",29.02,"41051002902"
139,NA,NA,NA,NA,NA,"003000",30,"41051003000"
140,NA,NA,NA,NA,NA,"003100",31,"41051003100"
141,NA,NA,NA,NA,NA,"003200",32,"41051003200"
142,NA,NA,NA,NA,NA,"003301",33.01,"41051003301"
143,NA,NA,NA,NA,NA,"003302",33.02,"41051003302"
144,NA,NA,NA,NA,NA,"003401",34.01,"41051003401"
145,NA,NA,NA,NA,NA,"003402",34.02,"41051003402"
146,NA,NA,NA,NA,NA,"003501",35.01,"41051003501"
147,NA,NA,NA,NA,NA,"003502",35.02,"41051003502"
148,NA,NA,NA,NA,NA,"003601",36.01,"41051003601"
149,NA,NA,NA,NA,NA,"003602",36.02,"41051003602"
150,NA,NA,NA,NA,NA,"003603",36.03,"41051003603"
151,NA,NA,NA,NA,NA,"003701",37.01,"41051003701"
81,NA,NA,NA,NA,NA,"970200",9702,"41009970200"
83,NA,NA,NA,NA,NA,"970400",9704,"41009970400"
88,NA,NA,NA,NA,NA,"970900",9709,"41009970900"
82,NA,NA,NA,NA,NA,"970300",9703,"41009970300"
84,NA,NA,NA,NA,NA,"970500",9705,"41009970500"
85,NA,NA,NA,NA,NA,"970600",9706,"41009970600"
171,NA,NA,NA,NA,NA,"005100",51,"41051005100"
